,0,1,2,3
"[0.0, 0.0]",0.0,0.0,5.904900000000002e-11,0.0
"[0.0, 60.0]",0.0,0.0,0.0,0.0
"[0.0, 120.0]",0.0,0.0,-2.9701,0.0
"[0.0, 180.0]",0.0,0.0,0.0,0.0
terminal,0.0,0.0,0.0,0.0
"[60.0, 60.0]",0.0,-28.944677272770754,-29.655230500043047,0.0
"[60.0, 0.0]",0.0,0.0,3.903795e-08,0.0
"[120.0, 0.0]",0.0,-1.0,1.0760769e-05,0.0
"[180.0, 0.0]",0.0,0.00158384079,0.0,0.0
"[180.0, 60.0]",0.0,0.13144028445,0.0,-1.0
"[240.0, 60.0]",0.0,-1.99,0.0,0.0
"[180.0, 120.0]",0.0,0.0,0.0,5.8519850599
"[300.0, 60.0]",0.0,0.0,0.0,0.0
"[300.0, 120.0]",0.0,0.0,0.0,-1.99
"[300.0, 180.0]",0.0,0.0,0.0,0.0
"[240.0, 180.0]",-1.99,0.0,0.0,0.0
"[240.0, 0.0]",0.0,0.0,0.0,0.0
"[300.0, 0.0]",0.0,0.0,0.0,0.0
"[0.0, 240.0]",0.0,0.0,0.0,0.0
"[60.0, 240.0]",0.0,0.0,0.0,0.0
"[60.0, 180.0]",-2.9701,0.0,-1.99,0.0
"[120.0, 240.0]",-3.940399,0.0,-1.0,0.0
"[60.0, 300.0]",0.0,0.0,0.0,0.0
"[120.0, 300.0]",0.0,0.0,0.0,0.0
"[180.0, 300.0]",-2.9701,0.0,0.0,0.0
"[240.0, 300.0]",0.0,0.0,0.0,0.0
"[300.0, 300.0]",0.0,0.0,0.0,0.0
"[300.0, 240.0]",0.0,0.0,0.0,0.0
"[240.0, 240.0]",0.0,0.0,0.0,-1.0
